batch_order,source_mutation_candidate_order,method,route,handler,classification,status,recommended_action,batch_recommendation
1,26,GET,API/Marketing/getScrapeDetails/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::getScrapeDetails/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
2,27,GET,API/Marketing/generateThreadFromSummary/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::generateThreadFromSummary/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
3,28,GET,API/Marketing/getGeneratedPostsPaginated,\App\Modules\APIs\Controllers\MarketingAPIController::getGeneratedPostsPaginated,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
4,29,GET,API/Marketing/getTopGeneratedPosts,\App\Modules\APIs\Controllers\MarketingAPIController::getTopGeneratedPosts,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
5,30,GET,API/Marketing/monitorKeywords,\App\Modules\APIs\Controllers\MarketingAPIController::monitorKeywordsAndScrape,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
6,31,GET,API/Marketing/processMarketingTempEmails/([0-9]+)/([^/]+)/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::processMarketingTempEmails/$1/$2/$3,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
7,32,GET,API/Marketing/processMarketingTempEmails/([0-9]+)/([^/]+),\App\Modules\APIs\Controllers\MarketingAPIController::processMarketingTempEmails/$1/$2,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
8,33,GET,API/Marketing/publishGroupedContentDraft,\App\Modules\APIs\Controllers\MarketingAPIController::publishGroupedContentDraft,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
9,34,GET,API/Marketing/runNewsScrape,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsScrape,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
10,35,GET,API/Marketing/runNewsGenerate,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsGenerate,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
11,36,GET,API/Marketing/runNewsPipeline,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsPipeline,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
12,37,GET,API/Marketing/reprocessIncompleteEmails,\App\Modules\APIs\Controllers\MarketingAPIController::reprocessIncompleteEmails,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
13,38,GET,API/Marketing/runContentGenerationBatch,\App\Modules\APIs\Controllers\MarketingAPIController::runContentGenerationBatch,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
14,39,GET,API/Marketing/runKeywordEnrichment,\App\Modules\APIs\Controllers\MarketingAPIController::runKeywordEnrichment,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
15,40,GET,API/Marketing/runScheduledTasks,\App\Modules\APIs\Controllers\MarketingAPIController::runScheduledTasks,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
16,41,GET,API/Marketing/Large-Content/Form,\App\Modules\APIs\Controllers\MarketingAPIController::submitLargeContentForm,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
17,42,GET,API/Marketing/testGenerateDailyDigest,\App\Modules\APIs\Controllers\MarketingAPIController::testGenerateDailyDigest,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
18,43,GET,API/Marketing/testGenerateFromTempEmail/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::testGenerateFromTempEmail/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
19,44,GET,API/Marketing/testGenerateSummarizerHarness,\App\Modules\APIs\Controllers\MarketingAPIController::testGenerateSummarizerHarness,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
20,45,GET,API/Marketing/processPendingNotifications,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingNotifications,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
21,46,GET,API/Marketing/processPendingTempScraper,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingTempScraper,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
22,47,GET,API/Marketing/processPendingCampaigns,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingCampaigns,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
23,48,GET,API/Marketing/processPendingGeneratedContent,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingGeneratedContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
24,49,GET,API/Marketing/retryDistributionTargets,\App\Modules\APIs\Controllers\MarketingAPIController::retryDistributionTargets,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
25,50,GET,API/Marketing/retryDistributionTargets/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::retryDistributionTargets/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b2_route_guard_patch
