batch_order,source_mutation_candidate_order,method,route,handler,classification,status,recommended_action,batch_recommendation
1,101,POST,API/Marketing/generateAutomatedContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateAutomatedContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
2,102,POST,API/Marketing/PublishBlog/([0-9]+),\App\Modules\APIs\Controllers\Management\MarketingAPIController::publishBlog/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
3,103,POST,API/Marketing/Save-Content-Edit/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::saveContentEdit/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
4,104,POST,API/Marketing/Scrape-Link,\App\Modules\APIs\Controllers\MarketingAPIController::scrapeLink,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
5,105,POST,API/Marketing/MyMI-Gold/Tasks/Add,\App\Modules\APIs\Controllers\WalletsAPIController::addUserGoldTasks,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
6,106,POST,API/Marketing//Email-Templates/store,\App\Modules\APIs\Controllers\EmailTemplateController::store,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
7,107,POST,API/Marketing/Email-Queue/store,\App\Modules\APIs\Controllers\EmailQueueController::store,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
8,108,POST,API/Marketing/Email-Queue/processQueue,\App\Modules\APIs\Controllers\EmailQueueController::processQueue,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
9,109,POST,API/Marketing/savePlatform,\App\Modules\APIs\Controllers\ManagementAPIController::savePlatform,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
10,110,POST,API/Marketing/upsertPlatformRule,\App\Modules\APIs\Controllers\ManagementAPIController::upsertPlatformRule,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
11,111,POST,API/Marketing/searchTaxonomy,\App\Modules\APIs\Controllers\ManagementAPIController::searchTaxonomy,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
12,112,POST,API/Marketing/saveTaxonomy,\App\Modules\APIs\Controllers\ManagementAPIController::saveTaxonomy,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
13,113,POST,API/Marketing/saveSuggestion,\App\Modules\APIs\Controllers\ManagementAPIController::saveSuggestion,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
14,114,POST,API/Marketing/getPostingPlan,\App\Modules\APIs\Controllers\ManagementAPIController::getPostingPlan,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
15,115,POST,API/Marketing/composePost,\App\Modules\APIs\Controllers\ManagementAPIController::composePost,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b5_route_guard_patch
