batch_order,source_mutation_candidate_order,method,route,handler,classification,status,recommended_action,batch_recommendation
1,76,POST,API/Marketing/generateCampaignStepContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateCampaignStepContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
2,77,POST,API/Marketing/generatePostMediaContent,\App\Modules\APIs\Controllers\MarketingAPIController::generatePostMediaContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
3,78,POST,API/Marketing/runNewsScrape,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsScrape,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
4,79,POST,API/Marketing/runNewsGenerate,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsGenerate,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
5,80,POST,API/Marketing/runNewsPipeline,\App\Modules\APIs\Controllers\MarketingAPIController::runNewsPipeline,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
6,81,POST,API/Marketing/submitLargeContent,\App\Modules\APIs\Controllers\MarketingAPIController::submitLargeContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
7,82,POST,API/Marketing/submitManualContent,\App\Modules\APIs\Controllers\MarketingAPIController::submitManualContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
8,83,POST,API/Marketing/updateCampaignLinks,\App\Modules\APIs\Controllers\MarketingAPIController::updateCampaignLinks,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
9,84,POST,API/Marketing/updateInsight,\App\Modules\APIs\Controllers\MarketingAPIController::updateInsight,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
10,85,POST,API/Marketing/updateCampaignMessageField,\App\Modules\APIs\Controllers\MarketingAPIController::updateCampaignMessageField,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
11,86,POST,API/Marketing/updatePostSchedule/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::updatePostSchedule/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
